Cod_promo,Nom_promo,Formato_promo,Unidades_por_promo
C4-2024-06-CIRM,Monster 473 cc (variedades),2x,2
C4-2024-06-CIRG,Monster 473 cc (variedades),2x,2
C4-2024-06-CA,Monster 473 cc (variedades),2x,2
C4-2024-06-UM,Monster 473 cc (variedades),2x,2
C4-2024-07-CIRM,Red Bull (variedades),2x,2
C4-2024-07-CIRG,Red Bull (variedades),2x,2
C4-2024-07-CA,Red Bull (variedades),2x,2
C4-2024-07-UM,Red Bull (variedades),2x,2
C4-2024-08-CIRM,Sprite 591 ml,2x,2
C4-2024-08-CIRG,Sprite 591 ml,2x,2
C4-2024-08-CA,Sprite 591 ml,2x,2
C4-2024-08-UM,Sprite 591 ml,2x,2
C4-2024-09-CIRM,Coca Cola 591 ml,2x,2
C4-2024-09-CIRG,Coca Cola 591 ml,2x,2
C4-2024-09-CA,Coca Cola 591 ml,2x,2
C4-2024-09-UM,Coca Cola 591 ml,2x,2
C4-2024-10-CIRM,Agua Mineral 1.5 L,2x,2
C4-2024-10-CIRG,Agua Mineral 1.5 L,2x,2
C4-2024-10-CA,Agua Mineral 1.5 L,2x,2
C4-2024-10-UM,Agua Mineral 1.5 L,2x,2
C4-2024-11-CIRM,Doritos + Pepsi 500 ml,Cruzada,2
C4-2024-11-CIRG,Doritos + Pepsi 500 ml,Cruzada,2
C4-2024-11-CA,Doritos + Pepsi 500 ml,Cruzada,2
C4-2024-11-UM,Doritos + Pepsi 500 ml,Cruzada,2
C4-2024-12-CIRM,Churritos + Jugo Watt's,Cruzada,2
C4-2024-12-CIRG,Churritos + Jugo Watt's,Cruzada,2
C4-2024-12-CA,Churritos + Jugo Watt's,Cruzada,2
C4-2024-12-UM,Churritos + Jugo Watt's,Cruzada,2
C4-2024-82-CIRM,Hot dog agregados + Monster 473 cc,Cruzada,2
C4-2024-82-CIRG,Hot dog agregados + Monster 473 cc,Cruzada,2
C4-2024-82-CA,Hot dog agregados + Monster 473 cc,Cruzada,2
C4-2024-82-UM,Hot dog agregados + Monster 473 cc,Cruzada,2
C5-2024-01-CIRM,Monster 473 cc (variedades),2x,2
C5-2024-01-CIRG,Monster 473 cc (variedades),2x,2
C5-2024-01-CA,Monster 473 cc (variedades),2x,2
C5-2024-01-UM,Monster 473 cc (variedades),2x,2
C5-2024-02-CIRM,Red Bull 473 ml,2x,2
C5-2024-02-CIRG,Red Bull 473 ml,2x,2
C5-2024-02-CA,Red Bull 473 ml,2x,2
C5-2024-02-UM,Red Bull 473 ml,2x,2
C5-2024-03-CIRM,Coca Cola 400 ml,3x,3
C5-2024-03-CIRG,Coca Cola 400 ml,3x,3
C5-2024-03-CA,Coca Cola 400 ml,3x,3
C5-2024-03-UM,Coca Cola 400 ml,3x,3
C5-2024-04-CIRM,Agua Mineral 600 ml,3x,3
C5-2024-04-CIRG,Agua Mineral 600 ml,3x,3
C5-2024-04-CA,Agua Mineral 600 ml,3x,3
C5-2024-04-UM,Agua Mineral 600 ml,3x,3
C5-2024-50-CIRM,Hot dog + Coca Cola 400 ml,Cruzada,2
C5-2024-50-CIRG,Hot dog + Coca Cola 400 ml,Cruzada,2
C5-2024-50-CA,Hot dog + Coca Cola 400 ml,Cruzada,2
C5-2024-50-UM,Hot dog + Coca Cola 400 ml,Cruzada,2
C6-2024-01-CIRM,Monster 473 cc (variedades),2x,2
C6-2024-01-CIRG,Monster 473 cc (variedades),2x,2
C6-2024-01-CA,Monster 473 cc (variedades),2x,2
C6-2024-01-UM,Monster 473 cc (variedades),2x,2
C6-2024-02-CIRM,Red Bull 473 ml,2x,2
C6-2024-02-CIRG,Red Bull 473 ml,2x,2
C6-2024-02-CA,Red Bull 473 ml,2x,2
C6-2024-02-UM,Red Bull 473 ml,2x,2
C6-2024-03-CIRM,Pepsi 1.5 L,2x,2
C6-2024-03-CIRG,Pepsi 1.5 L,2x,2
C6-2024-03-CA,Pepsi 1.5 L,2x,2
C6-2024-03-UM,Pepsi 1.5 L,2x,2
C6-2024-60-CIRM,Hot dog + Monster 473 cc,Cruzada,2
C6-2024-60-CIRG,Hot dog + Monster 473 cc,Cruzada,2
C6-2024-60-CA,Hot dog + Monster 473 cc,Cruzada,2
C6-2024-60-UM,Hot dog + Monster 473 cc,Cruzada,2
C1-2025-01-CIRM,Monster 473 ml (variedades),2x,2
C1-2025-01-CIRG,Monster 473 ml (variedades),2x,2
C1-2025-01-CA,Monster 473 ml (variedades),2x,2
C1-2025-01-UM,Monster 473 ml (variedades),2x,2
C1-2025-02-CIRM,Red Bull 473 ml,2x,2
